Pruning,Susceptibility_to_nonR6_Strains,Area_nonR6,Mildew_may,First_spray_date,Interval,Initial_interval_after_change,Disease_incidence,Degree_centrality,Annual_costs,Synthetic,Nonsynthetic,Mixture
3,1,0.5618,0,119,23,0,0,0.125689023,619.8914999,1,4,1
3,1,0.5618,0,119,13,13,0,0.125689023,619.8914999,1,4,1
3,1,0.5618,0,119,28,28,0.01,0.125689023,619.8914999,1,4,1
3,4,0.4382,0,119,23,0,0,0.158838093,619.8914999,1,4,1
3,4,0.4382,0,119,13,13,0,0.158838093,619.8914999,1,4,1
3,4,0.4382,0,119,28,28,0.01,0.158838093,619.8914999,1,4,1
3,4,0.4382,0,119,23,0,0,0.358719836,619.8914999,1,4,1
3,4,0.4382,0,119,13,13,0,0.358719836,619.8914999,1,4,1
3,4,0.4382,0,119,28,28,0.02,0.358719836,619.8914999,1,4,1
4,2,0.4382,0,119,23,0,0.05,0.213161302,619.8914999,1,4,1
4,2,0.4382,0,119,13,13,0.05,0.213161302,619.8914999,1,4,1
4,2,0.4382,0,119,28,28,0.1,0.213161302,619.8914999,1,4,1
3,1,0.5618,0,119,23,0,0,0.407506785,619.8914999,1,4,1
3,1,0.5618,0,119,13,13,0,0.407506785,619.8914999,1,4,1
3,1,0.5618,0,119,28,28,0,0.407506785,619.8914999,1,4,1
3,1,0.5618,0,119,23,0,0,0.627532609,619.8914999,1,4,1
3,1,0.5618,0,119,13,13,0,0.627532609,619.8914999,1,4,1
3,1,0.5618,0,119,28,28,0,0.627532609,619.8914999,1,4,1
4,4,0.4382,0,119,23,0,0.01,0.319952982,619.8914999,1,4,1
4,4,0.4382,0,119,13,13,0.01,0.319952982,619.8914999,1,4,1
4,4,0.4382,0,119,28,28,0.02,0.319952982,619.8914999,1,4,1
2,1,0.5618,0,119,23,0,0,0.691678797,619.8914999,1,4,1
2,1,0.5618,0,119,13,13,0,0.691678797,619.8914999,1,4,1
2,1,0.5618,0,119,28,28,0.16,0.691678797,619.8914999,1,4,1
5,2,0.4382,0.01,119,23,0,0.1,0.521767331,619.8914999,1,4,1
5,2,0.4382,0.01,119,13,13,0.1,0.521767331,619.8914999,1,4,1
5,2,0.4382,0.01,119,28,28,0.07,0.521767331,619.8914999,1,4,1
